# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,fps: 1,"exported_by: ""dive:typescript""","exported_time: ""12/13/2021, 8:53:38 AM"""
0,Produce_00000.jpg,0,957,1057,1224,1294,1,-1,urchin,1
0,Produce_00120.jpg,1,956,1049,1223,1286,1,-1,urchin,1
0,Produce_00240.jpg,2,949,1043,1216,1280,1,-1,urchin,1
0,Produce_00360.jpg,3,932,1046,1199,1283,1,-1,urchin,1
0,Produce_00480.jpg,4,883,1060,1150,1297,1,-1,urchin,1
0,Produce_00600.jpg,5,849,1041,1099,1269,1,-1,urchin,1
0,Produce_00720.jpg,6,813,1038,1063,1266,1,-1,urchin,1
0,Produce_00840.jpg,7,784.75,1039.25,1034.75,1267.25,1,-1,urchin,1
0,Produce_00960.jpg,8,756.5,1040.5,1006.5,1268.5,1,-1,urchin,1
0,Produce_01080.jpg,9,728.25,1041.75,978.25,1269.75,1,-1,urchin,1
0,Produce_01200.jpg,10,700,1043,950,1271,1,-1,urchin,1
0,Produce_01320.jpg,11,661,1034,912,1262,1,-1,urchin,1
0,Produce_01440.jpg,12,622,1025,874,1253,1,-1,urchin,1
0,Produce_01560.jpg,13,608,1031,862,1259,1,-1,urchin,1
0,Produce_01680.jpg,14,596,1041,817,1269,1,-1,urchin,1
0,Produce_01800.jpg,15,503,1075,751,1303,1,-1,urchin,1
0,Produce_01920.jpg,16,477,1123,697,1358,1,-1,urchin,1
0,Produce_02040.jpg,17,479,1126,640,1362,1,-1,urchin,1
0,Produce_02160.jpg,18,481,1172,596,1372,1,-1,urchin,1
0,Produce_02280.jpg,19,480,1208,551,1372,1,-1,urchin,1
0,Produce_02400.jpg,20,476,1275,521,1398,1,-1,urchin,1
1,Produce_00000.jpg,0,1319,839,1448,964,1,-1,urchin,1
1,Produce_00120.jpg,1,1315,842,1444,967,1,-1,urchin,1
1,Produce_00240.jpg,2,1311,845,1440,970,1,-1,urchin,1
1,Produce_00360.jpg,3,1302,848.5,1431,973.5,1,-1,urchin,1
1,Produce_00480.jpg,4,1293,852,1422,977,1,-1,urchin,1
1,Produce_00600.jpg,5,1262,861,1391,986,1,-1,urchin,1
1,Produce_00720.jpg,6,1231,870,1360,995,1,-1,urchin,1
1,Produce_00840.jpg,7,1193,891,1322,1016,1,-1,urchin,1
1,Produce_00960.jpg,8,1144,911,1273,1036,1,-1,urchin,1
1,Produce_01080.jpg,9,1107,924,1236,1049,1,-1,urchin,1
1,Produce_01200.jpg,10,1085,918,1214,1043,1,-1,urchin,1
1,Produce_01320.jpg,11,1074,923.3333333333335,1203,1048.3333333333335,1,-1,urchin,1
1,Produce_01440.jpg,12,1063,928.6666666666667,1192,1053.6666666666667,1,-1,urchin,1
1,Produce_01560.jpg,13,1052,934,1181,1059,1,-1,urchin,1
1,Produce_01680.jpg,14,1016,951.5,1145,1076.5,1,-1,urchin,1
1,Produce_01800.jpg,15,980,969,1109,1094,1,-1,urchin,1
1,Produce_01920.jpg,16,944,1002,1073,1127,1,-1,urchin,1
1,Produce_02040.jpg,17,917.5,1026,1046.5,1151,1,-1,urchin,1
1,Produce_02160.jpg,18,891,1050,1020,1175,1,-1,urchin,1
1,Produce_02280.jpg,19,891,1054,1020,1179,1,-1,urchin,1
1,Produce_02400.jpg,20,884.5,1062.5,1013.5,1187.5,1,-1,urchin,1
1,Produce_02520.jpg,21,878,1071,1007,1196,1,-1,urchin,1
1,Produce_02640.jpg,22,871.5,1079.5,1000.5,1204.5,1,-1,urchin,1
1,Produce_02760.jpg,23,865,1088,994,1213,1,-1,urchin,1
1,Produce_02880.jpg,24,839.3333333333334,1094,968.3333333333334,1219,1,-1,urchin,1
1,Produce_03000.jpg,25,813.6666666666666,1100,942.6666666666666,1225,1,-1,urchin,1
1,Produce_03120.jpg,26,788,1106,917,1231,1,-1,urchin,1
1,Produce_03240.jpg,27,751,1108,880,1233,1,-1,urchin,1
1,Produce_03360.jpg,28,726,1109,855,1234,1,-1,urchin,1
1,Produce_03480.jpg,29,679.6666666666667,1125,808.6666666666667,1250,1,-1,urchin,1
1,Produce_03600.jpg,30,633.3333333333334,1141,762.3333333333334,1266,1,-1,urchin,1
1,Produce_03720.jpg,31,587,1157,716,1282,1,-1,urchin,1
1,Produce_03840.jpg,32,568.5,1171,697.5,1296,1,-1,urchin,1
1,Produce_03960.jpg,33,550,1185,679,1310,1,-1,urchin,1
1,Produce_04080.jpg,34,545.5,1190,674.5,1315,1,-1,urchin,1
1,Produce_04200.jpg,35,541,1195,670,1320,1,-1,urchin,1
1,Produce_04320.jpg,36,542,1201,671,1326,1,-1,urchin,1
1,Produce_04440.jpg,37,540.5,1205,669.5,1330,1,-1,urchin,1
1,Produce_04560.jpg,38,539,1209,668,1334,1,-1,urchin,1
1,Produce_04680.jpg,39,537.5,1215.25,666.5,1340.25,1,-1,urchin,1
1,Produce_04800.jpg,40,536,1221.5,665,1346.5,1,-1,urchin,1
1,Produce_04920.jpg,41,534.5,1227.75,663.5,1352.75,1,-1,urchin,1
1,Produce_05040.jpg,42,533,1234,662,1359,1,-1,urchin,1
1,Produce_05160.jpg,43,534,1242,663,1367,1,-1,urchin,1
1,Produce_05280.jpg,44,526.75,1242.5,658.25,1365.5,1,-1,urchin,1
1,Produce_05400.jpg,45,519.5,1243,653.5,1364,1,-1,urchin,1
1,Produce_05520.jpg,46,512.25,1243.5,648.75,1362.5,1,-1,urchin,1
1,Produce_05640.jpg,47,505,1244,644,1361,1,-1,urchin,1
1,Produce_05760.jpg,48,505,1251,646,1366,1,-1,urchin,1
1,Produce_05880.jpg,49,508,1253,643,1366,1,-1,urchin,1
1,Produce_06000.jpg,50,502,1252,642,1369,1,-1,urchin,1
