# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Mon Dec 13 08:57:47 2021   by: write_detected_object_set_viame_csv
0,Produce_00120.jpg,0,956,1049,1223,1286,1,0,urchin,1
1,Produce_00120.jpg,0,1315,842,1444,967,1,0,urchin,1
2,Produce_00120.jpg,0,1541,832,1666,958,1,0,urchin,1
3,Produce_00120.jpg,0,1915.67,1136,1959.67,1180,1,0,baby_star,1
4,Produce_00120.jpg,0,479,203,569,339,1,0,urchin,1
5,Produce_00120.jpg,0,774.444,325.333,915.444,463.333,1,0,urchin,1
6,Produce_00120.jpg,0,628.6,56,818.6,238,1,0,urchin,1
7,Produce_00120.jpg,0,913,607,1024,717,1,0,urchin,1
8,Produce_00120.jpg,0,762,831,989,1057,1,0,covered_urchin,1
9,Produce_00120.jpg,0,855.6,-0.2,983.6,105.6,1,0,urchin,1
10,Produce_00120.jpg,0,672,-1,841,98,1,0,urchin,1
11,Produce_00120.jpg,0,1069,110.6,1136.6,191.6,1,0,covered_urchin,1
12,Produce_00120.jpg,0,1427,0,1577,139,1,0,urchin,1
13,Produce_00120.jpg,0,1330.8,120.8,1408.8,189.8,1,0,covered_urchin,1
14,Produce_00120.jpg,0,1236,247,1355,370,1,0,urchin,1
15,Produce_00120.jpg,0,1689,63,1781,161,1,0,urchin,1
16,Produce_00120.jpg,0,1524,117,1597,197,1,0,urchin,1
17,Produce_00120.jpg,0,1401.82,647,1511,751,1,0,urchin,1
18,Produce_00120.jpg,0,1590.71,512.571,1692.71,612.571,1,0,covered_urchin,1
19,Produce_00120.jpg,0,1859,234,1963,345,1,0,covered_urchin,1
20,Produce_00120.jpg,0,905,519,1006,609,1,0,urchin,1
21,Produce_00120.jpg,0,1342,1496,1532,1697,1,0,urchin,1
22,Produce_00120.jpg,0,1061.29,1322.43,1153.29,1413.43,1,0,covered_urchin,1
23,Produce_00120.jpg,0,1009,1388,1090,1463,1,0,covered_urchin,1
24,Produce_00120.jpg,0,941,1493.2,1016,1548.2,1,0,covered_urchin,1
25,Produce_00120.jpg,0,1024,1573,1134,1684,1,0,urchin,1
26,Produce_00120.jpg,0,656,1615,771,1723,1,0,urchin,1
27,Produce_00120.jpg,0,480,1693,505,1823,1,0,urchin,1
28,Produce_00120.jpg,0,475,2089,658,2160,1,0,urchin,1
29,Produce_00120.jpg,0,875,1960,1037,2138,1,0,urchin,1
30,Produce_00120.jpg,0,921,2090,1104,2160,1,0,urchin,1
31,Produce_00120.jpg,0,1132,1797,1268,1948,1,0,urchin,1
32,Produce_00120.jpg,0,1366.09,1720.09,1467.09,1812.09,1,0,urchin,1
33,Produce_00120.jpg,0,1369.4,1814.8,1449.4,1908.8,1,0,covered_urchin,1
34,Produce_00120.jpg,0,1642.33,1798.33,1828.33,1997.33,1,0,urchin,1
35,Produce_00120.jpg,0,1892.6,1958.2,2014.6,2078.2,1,0,covered_urchin,1
36,Produce_00120.jpg,0,1893,1856,2029,1984,1,0,urchin,1
37,Produce_00120.jpg,0,2209.58,1865.75,2363.67,2019.58,1,0,urchin,1
38,Produce_00120.jpg,0,2456,2092,2569,2160,1,0,urchin,1
39,Produce_00120.jpg,0,2478,1523.6,2559,1609.6,1,0,covered_urchin,1
40,Produce_00120.jpg,0,2500.8,1427.6,2616.8,1552.6,1,0,urchin,1
41,Produce_00120.jpg,0,2767,1539,2997,1760,1,0,urchin,1
42,Produce_00120.jpg,0,2801.25,1268.75,3007.25,1478.75,1,0,urchin,1
43,Produce_00120.jpg,0,3172.5,1584.5,3359.5,1754.5,1,0,urchin,1
44,Produce_00120.jpg,0,3008,1741,3102,1828,1,0,covered_urchin,1
45,Produce_00120.jpg,0,2622.5,2038,2712.5,2122,1,0,covered_urchin,1
46,Produce_00120.jpg,0,2736,1296,2809,1365,1,0,urchin,1
47,Produce_00120.jpg,0,2540,1259.5,2665,1376.5,1,0,urchin,1
48,Produce_00120.jpg,0,2768.75,816,2967.75,1011,1,0,urchin,1
49,Produce_00120.jpg,0,3203,1339.5,3348.5,1479.5,1,0,urchin,1
50,Produce_00120.jpg,0,3172.71,1222.71,3243.71,1302.71,1,0,covered_urchin,1
51,Produce_00120.jpg,0,3190,1165,3256,1232,1,0,covered_urchin,1
52,Produce_00120.jpg,0,3068,944,3148,1022,1,0,covered_urchin,1
53,Produce_00120.jpg,0,3316.25,843,3361,935,1,0,urchin,1
54,Produce_00120.jpg,0,2900.22,527.667,3089.22,705.667,1,0,urchin,1
55,Produce_00120.jpg,0,3098,152,3136,193,1,0,baby_star,1
56,Produce_00120.jpg,0,2164,330,2262,427,1,0,urchin,1
